iter	Passed	Remaining
331	71902	36384
332	72110	36163
333	72323	35945
334	72519	35718
335	72768	35518
336	73017	35317
337	73202	35085
338	73412	34865
339	73689	34677
340	73913	34464
341	74111	34238
342	74345	34029
343	74545	33805
344	74756	33586
345	74947	33358
346	75178	33147
347	75390	32929
348	75598	32708
349	75795	32483
350	76004	32264
351	76234	32053
352	76475	31846
353	76697	31632
354	76949	31429
355	77256	31249
356	77447	31022
357	77675	30809
358	77882	30588
359	78091	30368
360	78387	30182
361	78638	29978
362	78887	29772
363	79108	29557
364	79291	29326
365	79564	29130
366	79758	28904
367	79957	28680
368	80197	28471
369	80427	28258
370	80656	28045
371	80919	27843
372	81168	27636
373	81378	27416
374	81594	27198
375	81881	27003
376	82119	26792
377	82393	26592
378	82617	26376
379	82871	26170
380	83090	25952
381	83289	25728
382	83500	25507
383	83713	25288
384	83912	25064
385	84143	24850
386	84355	24630
387	84545	24405
388	84770	24189
389	84984	23969
390	85216	23756
391	85420	23534
392	85637	23316
393	85871	23102
394	86104	22888
395	86359	22680
396	86588	22465
397	86829	22252
398	87077	22042
399	87271	21817
400	87539	21611
401	87756	21393
402	87980	21176
403	88252	20970
404	88493	20757
405	88708	20538
406	88944	20323
407	89189	20111
408	89429	19897
409	89646	19678
410	89915	19470
411	90092	19243
412	90274	19016
413	90494	18798
414	90715	18580
415	90940	18363
416	91182	18149
417	91396	17929
418	91613	17710
419	91845	17494
420	92071	17277
421	92292	17058
422	92496	16837
423	92753	16625
424	92964	16405
425	93167	16183
426	93365	15961
427	93564	15739
428	93798	15523
429	94020	15305
430	94209	15082
431	94469	14870
432	94756	14662
433	94997	14446
434	95228	14229
435	95496	14017
436	95783	13808
437	96044	13595
438	96268	13376
439	96465	13154
440	96688	12935
441	96879	12712
442	97085	12491
443	97343	12277
444	97525	12053
445	97731	11832
446	97941	11612
447	98165	11394
448	98396	11176
449	98583	10953
450	98778	10731
451	98960	10509
452	99168	10288
453	99329	10064
454	99542	9844
455	99722	9622
456	99911	9400
457	100154	9184
458	100388	8967
459	100602	8748
460	100857	8532
461	101057	8312
462	101236	8090
463	101429	7869
464	101633	7649
465	101826	7429
466	102027	7209
467	102270	6992
468	102487	6774
469	102676	6553
470	102878	6334
471	103046	6112
472	103270	5894
473	103454	5674
474	103640	5454
475	103867	5237
476	104086	5018
477	104306	4800
478	104532	4582
479	104736	4364
480	104957	4145
481	105185	3928
482	105394	3709
483	105595	3490
484	105796	3272
485	106027	3054
486	106247	2836
487	106445	2617
488	106632	2398
489	106827	2180
490	107044	1962
491	107259	1744
492	107442	1525
493	107628	1307
494	107818	1089
495	108036	871
496	108242	653
497	108472	435
498	108682	217
499	108878	0
