iter	Logloss
0	0.6846177412
1	0.6779819803
2	0.6721676357
3	0.6676125889
4	0.663682974
5	0.6605009222
6	0.6578872469
7	0.6558083335
8	0.6538530404
9	0.6521760203
10	0.650716389
11	0.6495352052
12	0.648271199
13	0.6471936337
14	0.6463071519
15	0.6455543024
16	0.6449528819
17	0.6442123663
18	0.643692221
19	0.6432605635
20	0.6428019626
21	0.6424899122
22	0.642149256
23	0.641765377
24	0.6413694463
25	0.6411286202
26	0.6408368995
27	0.6405616531
28	0.6403542216
29	0.6400784185
30	0.6398621404
31	0.6396061077
32	0.6393432001
33	0.6391280654
34	0.6388948642
35	0.6387013797
36	0.6385080324
37	0.6383555059
38	0.6381649803
39	0.638005812
40	0.6378120982
41	0.6376391645
42	0.6374690445
43	0.6373441597
44	0.6372570348
45	0.6371061805
46	0.6369918499
47	0.6368886967
48	0.6367659493
49	0.6366649365
50	0.6365349196
51	0.636373843
52	0.6362579939
53	0.6361236838
54	0.6360391949
55	0.6359505677
56	0.6358866398
57	0.6357830295
58	0.6356518588
59	0.635576355
60	0.6354992134
61	0.6354206915
62	0.6353400962
63	0.6352297954
64	0.6351151668
65	0.6350053662
66	0.6348854345
67	0.6348211536
68	0.6347673335
69	0.6347147998
70	0.6346317757
71	0.6345069812
72	0.6344417948
73	0.6343379458
74	0.6342730739
75	0.634245184
76	0.634182438
77	0.6341110869
78	0.6340140175
79	0.6339406633
80	0.6338604187
81	0.6337210343
82	0.6336285857
83	0.633555875
84	0.6335359127
85	0.6334359181
86	0.6333813676
87	0.6332910202
88	0.6332433071
89	0.633177928
90	0.6331377795
91	0.6330647116
92	0.6330239727
93	0.6329240791
94	0.6328728891
95	0.6328143856
96	0.6327408249
97	0.6326985489
98	0.6326083354
99	0.632541699
100	0.6325055835
101	0.6324530181
102	0.6323588738
103	0.6322743625
104	0.6322119369
105	0.632126042
106	0.6321061324
107	0.6320528068
108	0.6320069885
109	0.6319494083
110	0.6319016444
111	0.6318127738
112	0.6317366501
113	0.6317140434
114	0.6316549237
115	0.6316066854
116	0.6315151344
117	0.6314808229
118	0.6314411321
119	0.6313858928
120	0.6313317369
121	0.6312975949
122	0.6312623479
123	0.6312224919
124	0.6312041323
125	0.631141909
126	0.6310894377
127	0.6310186955
128	0.6309408839
129	0.6309291697
130	0.6308945107
131	0.6308312219
132	0.6307574378
133	0.6307173915
134	0.6306443882
135	0.630609328
136	0.6305519428
137	0.6305124592
138	0.6304447332
139	0.6303892222
140	0.6303324198
141	0.6302663116
142	0.6302141291
143	0.6301857742
144	0.6301357643
145	0.6300856007
146	0.6300348387
147	0.6299597756
148	0.6298984777
149	0.6298353065
150	0.6297806983
151	0.6297248907
152	0.6297080894
153	0.629653652
154	0.6295890844
155	0.6295066341
156	0.6294346202
157	0.6293688271
158	0.6293042178
159	0.6292453094
160	0.6292151252
161	0.6291659276
162	0.6290998792
163	0.6290382012
164	0.6289905249
165	0.6289421948
166	0.6288778634
167	0.6288251806
168	0.6287553049
169	0.6286893769
170	0.6286384524
171	0.6286015612
172	0.6285470187
173	0.6285118353
174	0.6284726211
175	0.6284194598
176	0.6283705503
177	0.6283250009
178	0.6282776216
179	0.6282463476
180	0.6282006377
181	0.6281647873
182	0.6281168321
183	0.6280747584
184	0.6280471783
185	0.628017613
186	0.6279723465
187	0.6279218304
188	0.6278634175
189	0.6278383049
190	0.6277753101
191	0.6277386596
192	0.627686706
193	0.6276302302
194	0.6275762408
195	0.62754135
196	0.627484937
197	0.6274478054
198	0.6274045132
199	0.6273518068
200	0.6273205059
201	0.6272843972
202	0.6272464554
203	0.6272127639
204	0.6271698119
205	0.6271090739
206	0.6270582136
207	0.6270061764
208	0.6269643808
209	0.6269100191
210	0.6268678446
211	0.6268249071
212	0.6267957249
213	0.6267568271
214	0.6267208267
215	0.6266788034
216	0.6266308952
217	0.6265848886
218	0.6265510265
219	0.6265053968
220	0.6264727064
221	0.6264505612
222	0.6263997689
223	0.6263521398
224	0.6263099203
225	0.6262584044
226	0.6262156515
227	0.6261888844
228	0.6261462764
229	0.6261200913
230	0.6260775455
231	0.6260243012
232	0.6260040749
233	0.6259788572
234	0.6259376079
235	0.6259095205
236	0.6258714596
237	0.6258429319
238	0.6258172061
239	0.6258030847
240	0.6257833795
241	0.6257311657
242	0.6257092424
243	0.6256993531
244	0.6256787067
245	0.625632506
246	0.6256031284
247	0.6255648545
248	0.6255140994
249	0.6254837137
250	0.6254338948
251	0.6254021527
252	0.6253674221
253	0.6253113154
254	0.6252974256
255	0.6252720152
256	0.6252496314
257	0.6252247557
258	0.6251940092
259	0.625166175
260	0.6251439539
261	0.6251210528
262	0.6251008644
263	0.625076227
264	0.6250486523
265	0.6250055986
266	0.6249732321
267	0.6249294701
268	0.6248995852
269	0.6248577753
270	0.6248294011
271	0.6248004163
272	0.6247560147
273	0.6247041967
274	0.6246752402
275	0.6246417106
276	0.6246137141
277	0.6245759593
278	0.6245547544
279	0.6245116299
280	0.624471895
281	0.624428549
282	0.6243884552
283	0.6243784565
284	0.6243444604
285	0.6243244766
286	0.6243066986
287	0.6242650033
288	0.6242374753
289	0.6241999574
290	0.6241661691
291	0.6241447705
292	0.6241050172
293	0.6240543449
294	0.6240145964
295	0.6239882492
296	0.6239446869
297	0.6239048872
298	0.6238780221
299	0.6238435144
300	0.6238217032
301	0.6237979783
302	0.6237748878
303	0.6237585452
304	0.6237233788
305	0.623689013
306	0.6236472923
307	0.6236176765
308	0.6235980475
309	0.6235750017
310	0.6235587296
311	0.6235257023
312	0.6235105186
313	0.6234693375
314	0.6234403795
315	0.6233965287
316	0.623384659
317	0.6233650946
318	0.6233417615
319	0.6233292138
320	0.6232794763
321	0.6232321784
322	0.6231785157
323	0.6231577399
324	0.6231260499
325	0.6230860413
326	0.6230628561
327	0.6230204608
328	0.6229983012
329	0.6229763357
330	0.6229350053
331	0.6229008465
332	0.6228782871
333	0.6228449208
334	0.6228150646
335	0.6227964178
336	0.622767962
337	0.6227323167
338	0.6226941896
339	0.6226578007
340	0.6226298719
341	0.6226156883
342	0.6225833602
343	0.6225614467
344	0.6225410343
345	0.6225094173
346	0.6224911659
347	0.6224631748
348	0.6224330465
349	0.6224158344
350	0.6223833671
351	0.6223496147
352	0.6223071784
353	0.6222686753
354	0.6222512259
355	0.6222050766
356	0.6221702634
357	0.6221555291
358	0.6221461101
359	0.6221166853
360	0.6220822438
361	0.6220548937
362	0.6220202082
363	0.6219925224
364	0.6219621671
365	0.6219295071
366	0.6219060153
367	0.6218765601
368	0.6218594204
369	0.6218358047
370	0.6218085708
371	0.6217866732
372	0.621754879
373	0.6217400627
374	0.6217259979
375	0.6217159978
376	0.6217032694
377	0.6216733777
378	0.6216620367
379	0.6216281254
380	0.6215981832
381	0.6215567893
382	0.6215259471
383	0.6214951273
384	0.6214886171
385	0.6214642208
386	0.6214467947
387	0.6214284944
388	0.6213982308
389	0.6213658082
390	0.6213421123
391	0.621306367
392	0.6212725874
393	0.6212530867
394	0.6212223222
395	0.6212081333
396	0.6211817342
397	0.6211650403
398	0.6211418343
399	0.6211249709
400	0.621083033
401	0.6210525774
402	0.6210108844
403	0.6209904812
404	0.6209729436
405	0.6209432617
406	0.620925256
407	0.6209052756
408	0.6208740127
409	0.6208488749
410	0.6208202905
411	0.6208083773
412	0.6207960264
413	0.6207702668
414	0.6207609616
415	0.6207269952
416	0.6207138401
417	0.6206878125
418	0.6206596468
419	0.6206220362
420	0.620595437
421	0.6205750166
422	0.6205594343
423	0.6205295225
424	0.6205088749
425	0.6204762791
426	0.6204417274
427	0.6204104478
428	0.6203880895
429	0.6203619879
430	0.6203530546
431	0.6203208085
432	0.6203006769
433	0.6202810008
434	0.6202636953
435	0.6202352898
436	0.620206011
437	0.6201780308
438	0.620155586
439	0.6201226593
440	0.6201061861
441	0.6200816342
442	0.6200656813
443	0.6200484714
444	0.6200246657
445	0.6200030127
446	0.6199754234
447	0.6199387879
448	0.6199305858
449	0.6199123822
450	0.6198862856
451	0.6198572393
452	0.6198358888
453	0.6198098349
454	0.6197937859
455	0.6197609889
456	0.6197369802
457	0.6197212193
458	0.6197029118
459	0.6196714267
460	0.619652004
461	0.6196443947
462	0.619621269
463	0.6196051558
464	0.6195761875
465	0.6195361459
466	0.6194983906
467	0.6194701917
468	0.6194602764
469	0.6194496329
470	0.6194305316
471	0.6194072107
472	0.6193791217
473	0.6193492852
474	0.6193425004
475	0.6193341412
476	0.6193020736
477	0.6192719212
478	0.6192481534
479	0.6192229564
480	0.6192133682
481	0.6191971343
482	0.6191683695
483	0.6191219221
484	0.6191122947
485	0.6190886399
486	0.6190552309
487	0.61902358
488	0.6190105691
489	0.6189935016
490	0.6189775146
491	0.6189551191
492	0.6189324532
493	0.6189232366
494	0.6188966263
495	0.6188654649
496	0.6188366939
497	0.6188000137
498	0.6187811262
499	0.6187550927
